Pathway,Tissue,Interpretation
Viral protein interaction with cytokine and cytokine receptor,Breast mammary,Reported as statistically significant in the dissertation pathway analysis
ECM-receptor interaction,Breast mammary,Reported as statistically significant in the dissertation pathway analysis
Cell adhesion molecules,Breast mammary,Reported as statistically significant in the dissertation pathway analysis
Coronavirus disease - COVID-19,Breast mammary,Reported as statistically significant in the dissertation pathway analysis
Basal cell carcinoma,Breast mammary,Reported as statistically significant in the dissertation pathway analysis
